web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294095-399,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Sporting,2,53,17,2,2,41,13,Jornada 21
1668294095-400,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Benfica,3,47,15,2,4,56,19,Jornada 21
1668294095-401,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,SC Braga,4,38,11,5,5,37,22,Jornada 21
1668294095-402,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Gil Vicente,5,34,9,7,5,32,24,Jornada 21
1668294095-403,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Vitória SC,6,30,8,6,7,32,26,Jornada 21
1668294095-404,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Estoril Praia,7,27,6,9,6,25,24,Jornada 21
1668294095-405,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Portimonense,8,26,7,5,9,21,23,Jornada 21
1668294095-406,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Marítimo,9,25,6,7,8,25,30,Jornada 21
1668294095-407,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Santa Clara,10,24,6,6,9,25,39,Jornada 21
1668294095-408,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,FC Vizela,11,23,5,8,8,24,36,Jornada 21
1668294095-409,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Paços de Ferreira,12,21,4,9,8,15,24,Jornada 21
1668294095-410,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,CD Tondela,13,20,6,2,13,29,43,Jornada 21
1668294095-411,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Boavista,14,20,3,11,7,24,33,Jornada 21
1668294095-412,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,Moreirense,15,19,4,7,10,22,32,Jornada 21
1668294095-413,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,FC Arouca,16,18,4,6,11,19,38,Jornada 21
1668294095-414,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,FC Famalicão,17,17,3,8,10,23,37,Jornada 21
1668294095-415,https://www.zerozero.pt/edition.php?jornada_in=21&id_edicao=156405&fase=150343,B SAD,18,12,2,6,13,13,41,Jornada 21
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294031-362,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,FC Porto,1,53,17,2,0,51,13,Jornada 19
1668294031-363,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Sporting,2,47,15,2,2,35,12,Jornada 19
1668294031-364,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Benfica,3,44,14,2,3,52,16,Jornada 19
1668294031-365,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,SC Braga,4,35,10,5,4,34,20,Jornada 19
1668294031-366,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Gil Vicente,5,30,8,6,5,28,21,Jornada 19
1668294031-367,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Vitória SC,6,27,7,6,6,28,22,Jornada 19
1668294031-368,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Estoril Praia,7,25,6,7,6,25,24,Jornada 19
1668294031-369,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Portimonense,8,25,7,4,8,19,20,Jornada 19
1668294031-370,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Marítimo,9,24,6,6,7,24,28,Jornada 19
1668294031-371,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Santa Clara,10,20,5,5,9,21,36,Jornada 19
1668294031-372,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Boavista,11,19,3,10,6,21,29,Jornada 19
1668294031-373,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,FC Vizela,12,19,4,7,8,19,32,Jornada 19
1668294031-374,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Paços de Ferreira,13,19,4,7,8,14,23,Jornada 19
1668294031-375,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,FC Arouca,14,17,4,5,10,19,36,Jornada 19
1668294031-376,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,CD Tondela,15,17,5,2,12,26,39,Jornada 19
1668294031-377,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,FC Famalicão,16,16,3,7,9,23,35,Jornada 19
1668294031-378,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,Moreirense,17,16,3,7,9,18,29,Jornada 19
1668294031-379,https://www.zerozero.pt/edition.php?jornada_in=19&id_edicao=156405&fase=150343,B SAD,18,12,2,6,11,11,33,Jornada 19
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293952-344,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,FC Porto,1,50,16,2,0,48,12,Jornada 18
1668293952-345,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Sporting,2,47,15,2,1,34,10,Jornada 18
1668293952-346,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Benfica,3,41,13,2,3,50,16,Jornada 18
1668293952-347,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,SC Braga,4,32,9,5,4,32,19,Jornada 18
1668293952-348,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Gil Vicente,5,27,7,6,5,27,21,Jornada 18
1668293952-349,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Estoril Praia,6,25,6,7,5,24,21,Jornada 18
1668293952-350,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Portimonense,7,25,7,4,7,19,19,Jornada 18
1668293952-351,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Vitória SC,8,24,6,6,6,25,21,Jornada 18
1668293952-352,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Marítimo,9,23,6,5,7,23,27,Jornada 18
1668293952-353,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Boavista,10,18,3,9,6,20,28,Jornada 18
1668293952-354,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Paços de Ferreira,11,18,4,6,8,13,22,Jornada 18
1668293952-355,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,CD Tondela,12,17,5,2,11,24,36,Jornada 18
1668293952-356,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Santa Clara,13,17,4,5,9,19,36,Jornada 18
1668293952-357,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,FC Arouca,14,17,4,5,9,19,34,Jornada 18
1668293952-358,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,Moreirense,15,16,3,7,8,18,27,Jornada 18
1668293952-359,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,FC Famalicão,16,16,3,7,8,22,32,Jornada 18
1668293952-360,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,FC Vizela,17,16,3,7,8,16,30,Jornada 18
1668293952-361,https://www.zerozero.pt/edition.php?jornada_in=18&id_edicao=156405&fase=150343,B SAD,18,11,2,5,11,10,32,Jornada 18
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293873-326,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,FC Porto,1,47,15,2,0,44,11,Jornada 17
1668293873-327,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Sporting,2,44,14,2,1,32,10,Jornada 17
1668293873-328,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Benfica,3,40,13,1,3,49,15,Jornada 17
1668293873-329,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,SC Braga,4,32,9,5,3,32,18,Jornada 17
1668293873-330,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Gil Vicente,5,26,7,5,5,26,20,Jornada 17
1668293873-331,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Estoril Praia,6,25,6,7,4,23,19,Jornada 17
1668293873-332,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Portimonense,7,24,7,3,7,18,18,Jornada 17
1668293873-333,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Vitória SC,8,23,6,5,6,24,20,Jornada 17
1668293873-334,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Marítimo,9,20,5,5,7,22,27,Jornada 17
1668293873-335,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Boavista,10,17,3,8,6,19,27,Jornada 17
1668293873-336,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Paços de Ferreira,11,17,4,5,8,13,22,Jornada 17
1668293873-337,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,FC Vizela,12,16,3,7,7,16,28,Jornada 17
1668293873-338,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,CD Tondela,13,16,5,1,11,22,34,Jornada 17
1668293873-339,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Santa Clara,14,16,4,4,9,17,34,Jornada 17
1668293873-340,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,FC Famalicão,15,15,3,6,8,22,32,Jornada 17
1668293873-341,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,Moreirense,16,15,3,6,8,17,26,Jornada 17
1668293873-342,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,FC Arouca,17,14,3,5,9,17,33,Jornada 17
1668293873-343,https://www.zerozero.pt/edition.php?jornada_in=17&id_edicao=156405&fase=150343,B SAD,18,11,2,5,10,9,28,Jornada 17
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293816-308,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,FC Porto,1,44,14,2,0,41,9,Jornada 16
1668293816-309,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Sporting,2,44,14,2,0,30,7,Jornada 16
1668293816-310,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Benfica,3,37,12,1,3,47,15,Jornada 16
1668293816-311,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,SC Braga,4,31,9,4,3,30,16,Jornada 16
1668293816-312,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Estoril Praia,5,25,6,7,3,21,16,Jornada 16
1668293816-313,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Portimonense,6,24,7,3,6,17,16,Jornada 16
1668293816-314,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Gil Vicente,7,23,6,5,5,23,18,Jornada 16
1668293816-315,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Vitória SC,8,23,6,5,5,22,17,Jornada 16
1668293816-316,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Marítimo,9,17,4,5,7,20,26,Jornada 16
1668293816-317,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Paços de Ferreira,10,17,4,5,7,13,20,Jornada 16
1668293816-318,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Boavista,11,16,3,7,6,18,26,Jornada 16
1668293816-319,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,FC Vizela,12,16,3,7,6,16,27,Jornada 16
1668293816-320,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,CD Tondela,13,15,5,0,11,21,33,Jornada 16
1668293816-321,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,FC Arouca,14,14,3,5,8,16,31,Jornada 16
1668293816-322,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,FC Famalicão,15,14,3,5,8,20,30,Jornada 16
1668293816-323,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Santa Clara,16,13,3,4,9,14,32,Jornada 16
1668293816-324,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,Moreirense,17,12,2,6,8,16,26,Jornada 16
1668293816-325,https://www.zerozero.pt/edition.php?jornada_in=16&id_edicao=156405&fase=150343,B SAD,18,8,1,5,10,7,27,Jornada 16
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293776-290,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,FC Porto,1,41,13,2,0,38,8,Jornada 15
1668293776-291,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Sporting,2,41,13,2,0,27,5,Jornada 15
1668293776-292,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Benfica,3,37,12,1,2,46,12,Jornada 15
1668293776-293,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,SC Braga,4,28,8,4,3,24,16,Jornada 15
1668293776-294,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Estoril Praia,5,25,6,7,2,21,15,Jornada 15
1668293776-295,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Portimonense,6,24,7,3,5,15,13,Jornada 15
1668293776-296,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Vitória SC,7,22,6,4,5,21,16,Jornada 15
1668293776-297,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Gil Vicente,8,20,5,5,5,20,18,Jornada 15
1668293776-298,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,FC Vizela,9,16,3,7,5,16,25,Jornada 15
1668293776-299,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Boavista,10,15,3,6,6,17,25,Jornada 15
1668293776-300,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,CD Tondela,11,15,5,0,10,21,30,Jornada 15
1668293776-301,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Marítimo,12,14,3,5,7,18,26,Jornada 15
1668293776-302,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,FC Arouca,13,14,3,5,7,16,25,Jornada 15
1668293776-303,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Paços de Ferreira,14,14,3,5,7,11,19,Jornada 15
1668293776-304,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Santa Clara,15,13,3,4,8,13,30,Jornada 15
1668293776-305,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,FC Famalicão,16,11,2,5,8,19,30,Jornada 15
1668293776-306,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,Moreirense,17,9,1,6,8,15,26,Jornada 15
1668293776-307,https://www.zerozero.pt/edition.php?jornada_in=15&id_edicao=156405&fase=150343,B SAD,18,8,1,5,9,7,26,Jornada 15
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293735-272,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,FC Porto,1,38,12,2,0,34,8,Jornada 14
1668293735-273,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Sporting,2,38,12,2,0,24,5,Jornada 14
1668293735-274,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Benfica,3,34,11,1,2,39,11,Jornada 14
1668293735-275,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,SC Braga,4,25,7,4,3,23,16,Jornada 14
1668293735-276,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Estoril Praia,5,24,6,6,2,19,13,Jornada 14
1668293735-277,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Portimonense,6,23,7,2,5,14,12,Jornada 14
1668293735-278,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Vitória SC,7,22,6,4,4,21,15,Jornada 14
1668293735-279,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Gil Vicente,8,20,5,5,4,20,15,Jornada 14
1668293735-280,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,FC Vizela,9,16,3,7,4,16,21,Jornada 14
1668293735-281,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,CD Tondela,10,15,5,0,9,21,29,Jornada 14
1668293735-282,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Marítimo,11,14,3,5,6,17,19,Jornada 14
1668293735-283,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,FC Arouca,12,13,3,4,7,15,24,Jornada 14
1668293735-284,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Boavista,13,12,2,6,6,16,25,Jornada 14
1668293735-285,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Paços de Ferreira,14,11,2,5,7,10,19,Jornada 14
1668293735-286,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,FC Famalicão,15,10,2,4,8,17,28,Jornada 14
1668293735-287,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Santa Clara,16,10,2,4,8,12,30,Jornada 14
1668293735-288,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,Moreirense,17,9,1,6,7,15,25,Jornada 14
1668293735-289,https://www.zerozero.pt/edition.php?jornada_in=14&id_edicao=156405&fase=150343,B SAD,18,8,1,5,8,7,25,Jornada 14
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293705-254,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,FC Porto,1,35,11,2,0,33,8,Jornada 13
1668293705-255,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Sporting,2,35,11,2,0,22,5,Jornada 13
1668293705-256,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Benfica,3,31,10,1,2,35,10,Jornada 13
1668293705-257,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,SC Braga,4,25,7,4,2,23,15,Jornada 13
1668293705-258,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Estoril Praia,5,21,5,6,2,18,13,Jornada 13
1668293705-259,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Portimonense,6,20,6,2,5,13,12,Jornada 13
1668293705-260,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Vitória SC,7,19,5,4,4,16,13,Jornada 13
1668293705-261,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Gil Vicente,8,17,4,5,4,19,15,Jornada 13
1668293705-262,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,CD Tondela,9,15,5,0,8,19,24,Jornada 13
1668293705-263,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,FC Arouca,10,13,3,4,6,14,20,Jornada 13
1668293705-264,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,FC Vizela,11,13,2,7,4,12,20,Jornada 13
1668293705-265,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Boavista,12,12,2,6,5,16,23,Jornada 13
1668293705-266,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Marítimo,13,11,2,5,6,13,18,Jornada 13
1668293705-267,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Paços de Ferreira,14,11,2,5,6,10,18,Jornada 13
1668293705-268,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,FC Famalicão,15,10,2,4,7,16,24,Jornada 13
1668293705-269,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Santa Clara,16,10,2,4,7,11,26,Jornada 13
1668293705-270,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,Moreirense,17,9,1,6,6,15,24,Jornada 13
1668293705-271,https://www.zerozero.pt/edition.php?jornada_in=13&id_edicao=156405&fase=150343,B SAD,18,8,1,5,7,7,24,Jornada 13
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293661-236,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,FC Porto,1,32,10,2,0,30,8,Jornada 12
1668293661-237,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Sporting,2,32,10,2,0,19,4,Jornada 12
1668293661-238,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Benfica,3,31,10,1,1,34,7,Jornada 12
1668293661-239,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,SC Braga,4,22,6,4,2,21,15,Jornada 12
1668293661-240,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Estoril Praia,5,21,5,6,1,18,11,Jornada 12
1668293661-241,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Portimonense,6,20,6,2,4,13,9,Jornada 12
1668293661-242,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Vitória SC,7,16,4,4,4,14,12,Jornada 12
1668293661-243,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Gil Vicente,8,14,3,5,4,15,15,Jornada 12
1668293661-244,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,FC Arouca,9,13,3,4,5,13,18,Jornada 12
1668293661-245,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,CD Tondela,10,12,4,0,8,17,23,Jornada 12
1668293661-246,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Boavista,11,11,2,5,5,15,22,Jornada 12
1668293661-247,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Paços de Ferreira,12,11,2,5,5,9,16,Jornada 12
1668293661-248,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,FC Famalicão,13,10,2,4,6,16,20,Jornada 12
1668293661-249,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,FC Vizela,14,10,1,7,4,10,20,Jornada 12
1668293661-250,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Marítimo,15,10,2,4,6,12,17,Jornada 12
1668293661-251,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Moreirense,16,9,1,6,5,14,22,Jornada 12
1668293661-252,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,B SAD,17,8,1,5,6,7,22,Jornada 12
1668293661-253,https://www.zerozero.pt/edition.php?jornada_in=12&id_edicao=156405&fase=150343,Santa Clara,18,7,1,4,7,9,25,Jornada 12
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668293626-218,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,FC Porto,1,29,9,2,0,28,7,Jornada 11
1668293626-219,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Sporting,2,29,9,2,0,17,4,Jornada 11
1668293626-220,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Benfica,3,28,9,1,1,27,7,Jornada 11
1668293626-221,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Estoril Praia,4,20,5,5,1,16,9,Jornada 11
1668293626-222,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,SC Braga,5,19,5,4,2,17,14,Jornada 11
1668293626-223,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Portimonense,6,17,5,2,4,10,9,Jornada 11
1668293626-224,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Vitória SC,7,16,4,4,3,13,10,Jornada 11
1668293626-225,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Gil Vicente,8,13,3,4,4,13,13,Jornada 11
1668293626-226,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,CD Tondela,9,12,4,0,7,17,21,Jornada 11
1668293626-227,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Boavista,10,11,2,5,4,14,20,Jornada 11
1668293626-228,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Paços de Ferreira,11,11,2,5,4,9,14,Jornada 11
1668293626-229,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,FC Arouca,12,10,2,4,5,11,17,Jornada 11
1668293626-230,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,FC Vizela,13,10,1,7,3,9,16,Jornada 11
1668293626-231,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,FC Famalicão,14,10,2,4,5,16,17,Jornada 11
1668293626-232,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Moreirense,15,8,1,5,5,12,20,Jornada 11
1668293626-233,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,B SAD,16,8,1,5,5,7,15,Jornada 11
1668293626-234,https://www.zerozero.pt/edition.php?jornada_in=11&id_edicao=156405&fase=150343,Marítimo,17,7,1,4,6,10,17,Jornada 11
