web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294431-542,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,FC Porto,1,79,25,4,0,72,19,Jornada 29
1668294431-543,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Sporting,2,73,23,4,2,59,18,Jornada 29
1668294431-544,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Benfica,3,64,20,4,5,73,29,Jornada 29
1668294431-545,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,SC Braga,4,55,16,7,6,47,28,Jornada 29
1668294431-546,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Gil Vicente,5,46,12,10,7,40,30,Jornada 29
1668294431-547,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Vitória SC,6,39,11,6,12,38,38,Jornada 29
1668294431-548,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Paços de Ferreira,7,36,9,9,11,27,34,Jornada 29
1668294431-549,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Santa Clara,8,34,8,10,11,32,46,Jornada 29
1668294431-550,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Estoril Praia,9,34,8,10,11,32,36,Jornada 29
1668294431-551,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Marítimo,10,33,8,9,12,32,39,Jornada 29
1668294431-552,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Boavista,11,33,6,15,8,34,41,Jornada 29
1668294431-553,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Portimonense,12,32,8,8,13,27,34,Jornada 29
1668294431-554,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,FC Vizela,13,29,6,11,12,31,47,Jornada 29
1668294431-555,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,FC Famalicão,14,28,6,10,13,34,44,Jornada 29
1668294431-556,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,FC Arouca,15,26,6,8,15,27,50,Jornada 29
1668294431-557,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,CD Tondela,16,25,7,4,18,37,58,Jornada 29
1668294431-558,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,Moreirense,17,23,5,8,16,26,46,Jornada 29
1668294431-559,https://www.zerozero.pt/edition.php?jornada_in=29&id_edicao=156405&fase=150343,B SAD,18,21,4,9,16,18,49,Jornada 29
web-scraper-order,web-scraper-start-url,Clube,Lugar,Pontos,Vitorias,Empates,Derrotas,GolosMarcados,GolosSofridos,Jornada
1668294391-524,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,FC Porto,1,76,24,4,0,71,19,Jornada 28
1668294391-525,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Sporting,2,70,22,4,2,56,17,Jornada 28
1668294391-526,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Benfica,3,61,19,4,5,70,28,Jornada 28
1668294391-527,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,SC Braga,4,52,15,7,6,46,28,Jornada 28
1668294391-528,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Gil Vicente,5,46,12,10,6,39,28,Jornada 28
1668294391-529,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Vitória SC,6,39,11,6,11,38,37,Jornada 28
1668294391-530,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Estoril Praia,7,34,8,10,10,32,34,Jornada 28
1668294391-531,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Marítimo,8,33,8,9,11,32,37,Jornada 28
1668294391-532,https://www.zerozero.pt/edition.php?jornada_in=28&id_edicao=156405&fase=150343,Paços de Ferreira,9,33,8,9,11,25,34,Jornada 28
