web-scraper-order,web-scraper-start-url,pag,Data,Hora,Casa,Fora,Golos(Casa-Fora),Jornada
1668124844-92,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/7/2022,20:30,Portimonense,Sporting,3-Feb,J33
1668124844-93,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/8/2022,15:30,FC Vizela,Marítimo,1-Jan,J33
1668124844-94,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/8/2022,15:30,Gil Vicente,CD Tondela,Mar-00,J33
1668124844-95,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/8/2022,18:00,SC Braga,FC Arouca,Jan-00,J33
1668124844-96,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/8/2022,20:30,Santa Clara,Paços de Ferreira,Feb-00,J33
1668124844-97,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/9/2022,20:15,B SAD,FC Famalicão,3-Feb,J33
1668124844-98,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/13/2022,20:15,Paços de Ferreira,Benfica,0-2,J34
1668124844-99,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/14/2022,15:30,CD Tondela,Boavista,2-Feb,J34
1668124844-100,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=6,5/14/2022,15:30,Moreirense,FC Vizela,1-Apr,J34
1668124850-101,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/19/2022,18:00,Paços de Ferreira,FC Vizela,1-Feb,J23
1668124850-102,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/19/2022,20:30,Vitória SC,FC Arouca,3-Jan,J23
1668124850-103,https://www.zerozero.pt/edition_matches.php?id=156405,https://www.zerozero.pt/edition_matches.php?id_edicao=156405&fase_in&equipa=0&estado=&filtro=&op=calendario&page=5,2/20/2022,15:30,Marítimo,FC Famalicão,0-1,J23
